Journal,Count,Journal Type
neuroimage,91,Journal
plos one,55,Journal
human brain mapping,31,Journal
brain connectivity,23,Journal
frontiers in neuroscience,21,Journal
frontiers in human neuroscience,20,Journal
frontiers in systems neuroscience,17,Journal
cerebral cortex,17,Journal
scientific reports,13,Journal
biorxiv,12,Other
proceedings of the national academy of sciences,12,Other
neuroimage: clinical,10,Journal
biological psychiatry,8,Journal
scientific data,8,Journal
brain imaging and behavior,8,Journal
alzheimer's \& dementia: the journal of the alzheimer's association,8,Journal
brain structure and function,7,Journal
gigascience,6,Journal
journal of the american statistical association,6,Journal
brain,5,Journal
frontiers in neuroinformatics,5,Journal
journal of neuroscience methods,5,Journal
cortex,5,Journal
autism research,5,Journal
journal of neuroscience,5,Journal
neuroinformatics,4,Journal
biological psychiatry: cognitive neuroscience and neuroimaging,4,Journal
social cognitive and affective neuroscience,4,Journal
neuron,4,Journal
developmental cognitive neuroscience,4,Journal
psychiatry research: neuroimaging,4,Journal
neuroscience \& biobehavioral reviews,4,Journal
molecular autism,4,Journal
neuropsychopharmacology,3,Journal
biomed research international,3,Journal
journal of the american academy of child \& adolescent psychiatry,3,Journal
medical image analysis,3,Journal
molecular psychiatry,3,Journal
ieee/acm transactions on computational biology and bioinformatics,3,Other
clinical neurophysiology,3,Journal
frontiers in neurology,3,Journal
journal of neurophysiology,3,Journal
brain informatics,3,Journal
brain and behavior,2,Journal
the effects of social drinking in older age on cognition and brain health,2,Journal
using secondary datasets to understand persons with developmental disabilities and their families,2,Other
alzheimer's \& dementia,2,Unknown
cns neuroscience \& therapeutics,2,Journal
biometrics,2,Journal
developmental science,2,Journal
journal of neuroimaging,2,Journal
peerj,2,Journal
arxiv preprint arxiv:1506.08301,2,Other
the annals of applied statistics,2,Journal
neurocomputing,2,Journal
bmc neuroscience,2,Journal
arxiv preprint arxiv:1607.03392,2,Other
journal of machine learning research,2,Journal
european journal of radiology,2,Journal
frontiers in computational neuroscience,2,Journal
jama psychiatry,2,Journal
physical review e,2,Journal
arxiv preprint arxiv:1511.06427,2,Other
research ideas and outcomes,2,Journal
neuropsychologia,2,Journal
medical \& biological engineering \& computing,2,Journal
statistics in medicine,2,Journal
european neuropsychopharmacology,2,Journal
nature neuroscience,2,Journal
psychological medicine,2,Journal
journal of autism and developmental disorders,2,Journal
arxiv preprint arxiv:1506.06795,1,Other
arxiv preprint arxiv:1608.03045,1,Other
arxiv preprint arxiv:1612.03760,1,Other
heliyon,1,Unknown
schizophrenia research,1,Journal
brain and language,1,Journal
psychiatry and clinical neurosciences,1,Journal
magnetic resonance imaging of disturbed brain connectivity in psychiatric illness,1,Journal
ieee transactions on cybernetics,1,Other
epilepsy \& behavior,1,Journal
hbm 2012,1,Unknown
arxiv preprint arxiv:1203.3896,1,Other
autism,1,Journal
arxiv preprint arxiv:1606.02401,1,Other
ieee transactions on medical imaging,1,Other
ieee transactions on biomedical circuits and systems,1,Other
"cognitive, affective, \& behavioral neuroscience",1,Journal
arxiv preprint arxiv:1406.1976,1,Other
arxiv preprint arxiv:1701.08140,1,Other
j. neurosci,1,Journal
journal of medical imaging and health informatics,1,Journal
arxiv preprint arxiv:1602.05455,1,Other
test,1,Journal
physica a: statistical mechanics and its applications,1,Journal
arxiv preprint arxiv:1606.08199,1,Other
hku theses online (hkuto),1,Unknown
intelligence,1,Journal
ieee transactions on visualization and computer graphics,1,Other
magnetic resonance in medical sciences,1,Unknown
journal of magnetic resonance imaging,1,Journal
arxiv preprint arxiv:1511.01863,1,Other
undergraduate research newsletter,1,Unknown
arxiv preprint arxiv:1611.04794,1,Other
ieee journal of biomedical and health informatics,1,Other
epilepsy research,1,Journal
radiology,1,Journal
journal of traumatic stress,1,Journal
under construction.,1,Other
american journal of neuroradiology,1,Journal
poznan studies in contemporary linguistics,1,Unknown
international journal of imaging systems and technology,1,Journal
science bulletin,1,Journal
journal of multidisciplinary engineering science and technology (jmest) vol,1,Journal
arxiv preprint arxiv:1504.06074,1,Other
北京生物医学工程,1,Unknown
arxiv preprint arxiv:1112.3496,1,Other
arxiv preprint arxiv:1506.06048,1,Other
lateral,1,Unknown
neuroscience letters,1,Journal
abstracts/int. j. devl neuroscience,1,Journal
expert review of neurotherapeutics,1,Journal
journal of computing science and engineering,1,Journal
journal of psychiatry \& neuroscience: jpn,1,Journal
the neuroscientist,1,Journal
psychophysiology,1,Unknown
arxiv preprint arxiv:1509.02697,1,Other
arxiv preprint arxiv:1605.09282,1,Other
ieee transactions on signal processing,1,Other
computerized medical imaging and graphics,1,Journal
arxiv preprint arxiv:1512.01947,1,Other
journal of applied mathematics,1,Journal
neuroscience,1,Other
neuropsychiatry (london),1,Journal
arxiv preprint arxiv:1510.08045,1,Other
"interoception, functional",1,Thesis
appetite,1,Journal
中国现代神经疾病杂志,1,Unknown
autism open access,1,Journal
magnetic resonance imaging,1,Journal
procedia environmental sciences,1,Journal
arxiv preprint arxiv:1304.5637,1,Other
arxiv preprint arxiv:1509.00882,1,Other
the neuroradiology journal,1,Journal
brain stimulation,1,Journal
arxiv preprint arxiv:1407.5525,1,Other
open journal of radiology,1,Journal
acta neurobiol exp,1,Journal
ieee transactions on pattern analysis and machine intelligence,1,Other
journal of child neurology,1,Journal
advances in child development and behavior,1,Other
ieee transactions on autonomous mental development,1,Other
arxiv preprint arxiv:1701.05363,1,Other
phil. trans. r. soc. a,1,Journal
revue d'anthropologie des connaissances,1,Unknown
cell reports,1,Journal
informatics 2011,1,Unknown
frontiers in psychiatry,1,Journal
chinese journal of contemporary neurology and neurosurgery,1,Journal
biostatistics,1,Journal
arxiv preprint arxiv:1512.09206,1,Other
journal of classification,1,Journal
arxiv preprint arxiv:1310.7467,1,Other
journal of affective disorders,1,Journal
journal of neurodevelopmental disorders,1,Journal
frontiers in aging neuroscience,1,Journal
arxiv preprint arxiv:1311.6732,1,Other
arxiv preprint arxiv:1605.06359,1,Other
computational statistics \& data analysis,1,Journal
arxiv preprint arxiv:1302.4373,1,Other
arxiv preprint arxiv:1512.08298,1,Other
臺灣大學電機工程學研究所學位論文,1,Unknown
bmc neurology,1,Journal
journal of multivariate analysis,1,Journal
ur l http://works. bepress. com/phil\_reiss/29,1,Unknown
cogn sci,1,Unknown
neuroscience research,1,Journal
arxiv preprint arxiv:1611.09897,1,Other
neuroscience bulletin,1,Journal
annals of human biology,1,Unknown
siam journal on optimization,1,Journal
frontiers in neuroanatomy,1,Journal
progress in neuro-psychopharmacology and biological psychiatry,1,Journal
journal of the royal statistical society: series b (statistical methodology),1,Journal
evolving systems,1,Journal
expert systems with applications,1,Journal
medical engineering \& physics,1,Journal
arxiv preprint arxiv:1404.7547,1,Other
statistica sinica,1,Journal
nature medicine,1,Journal
journal of biomedical informatics,1,Journal
international journal of biomedical engineering and technology,1,Journal
neuroreport,1,Journal
european child \& adolescent psychiatry,1,Journal
pattern recognition,1,Journal
international journal of data science and analytics,1,Journal
proceedings of the american mathematical society,1,Other
running head: trait anxiety \& amygdala structural connectivity,1,Unknown
international journal of semantic computing,1,Journal
dialogues in clinical neuroscience,1,Journal
brain topography,1,Journal
front. neurosci,1,Journal
arxiv preprint arxiv:1612.03925,1,Other
medical physics,1,Journal
bio-medical materials and engineering,1,Unknown
psychiatric quarterly,1,Journal
critical reviews in biochemistry and molecular biology,1,Journal
signal,1,Unknown
arxiv preprint arxiv:1605.03707,1,Other
journal of medical and biological engineering,1,Journal
drug and alcohol dependence,1,Journal
analytical methods,1,Unknown
arxiv preprint arxiv:1602.01191,1,Other
significance,1,Journal
pain,1,Journal
电子科技大学学报,1,Journal
journal of child and adolescent psychopharmacology,1,Journal
chaos: an interdisciplinary journal of nonlinear science,1,Journal
journal of clinical neuroscience,1,Journal
arxiv preprint arxiv:1609.04523,1,Other
klinische neurophysiologie,1,Journal
"magnetic resonance materials in physics, biology and medicine",1,Journal
computational intelligence and neuroscience,1,Journal
nicotine \& tobacco research,1,Journal
arxiv preprint arxiv:1611.01129,1,Other
the american journal of drug and alcohol abuse,1,Journal
成功大學資訊工程學系學位論文,1,Unknown
arxiv preprint arxiv:1212.1642,1,Other
"information-based methods for neuroimaging: analyzing structure, function and dynamics",1,Journal
arxiv preprint arxiv:1603.06138,1,Other
frontiers in behavioral neuroscience,1,Journal
chinese science bulletin,1,Journal
biometrika,1,Unknown
arxiv preprint arxiv:1609.03372,1,Other
arxiv preprint arxiv:1409.6378,1,Other
the lancet,1,Journal
journal of computational and graphical statistics,1,Journal
arxiv preprint arxiv:1609.05148,1,Other
arxiv preprint arxiv:1502.03853,1,Other
arxiv preprint arxiv:1610.08619,1,Other
nature communications,1,Journal
物理学报,1,Unknown
recent advances and the future generation of neuroinformatics infrastructure,1,Journal
hippocampus,1,Journal
